SKU,Name,Description,Short Description,Price,Sale Price,Categories,Tags,Image,Stock,Gender,Type,Style,Color,Material,Instagram URL
CL-OUT-0000,Outros Bege,"Chapéu cloche elegante em lã bege para outono/inverno, com adorno discreto. Perfeito para um toque clássico e sofisticado. A qualidade Achega para um estilo intemporal.",Produto de chapelaria de qualidade.,55,,Chapéus > Outros,"chapéu feminino, moda outono-inverno, lã",instagram_catalog/raw_photos/chapeuslisboetas_DO8jxFKiJko.jpg,10,mulher,outros,classico,bege,la,https://www.instagram.com/p/DO8jxFKiJko/
CL-OUT-0001,Outros Bege,"Chapéu feminino estilo cloche em tom bege, adornado com fita lateral. Perfeito para um look vintage dos anos 20, elegante e carismático no desfile da Achega.",Produto de chapelaria de qualidade.,50,,Chapéus > Outros,"vintage, elegante, chapéu-feminino",instagram_catalog/raw_photos/chapeuslisboetas_DO53ge6COrf.jpg,10,mulher,outros,vintage,bege,la,https://www.instagram.com/p/DO53ge6COrf/
CL-OUT-0002,Outros Azul,"Chapéu feminino estilo cloche em lã escura, com fita decorativa e laço. Perfeito para um toque de elegância clássica na estação Outono/Inverno.",Produto de chapelaria de qualidade.,50,,Chapéus > Outros,"chapéu-cloche, lã, outono-inverno",instagram_catalog/raw_photos/chapeuslisboetas_DO1YuMVCHCU.jpg,10,mulher,outros,classico,azul,la,https://www.instagram.com/p/DO1YuMVCHCU/
CL-OUT-0003,Outros Preto,"Acessório de cabelo preto estilo vintage com rede e detalhes decorativos. Ideal para eventos formais, evocando a elegância dos anos 20/30.",Produto de chapelaria de qualidade.,50,,Chapéus > Outros,"vintage, acessorios-cabelo, elegante, preto, moda-festa",instagram_catalog/raw_photos/chapeuslisboetas_DOwDq6WjcUR.jpg,10,mulher,outros,vintage,preto,outros,https://www.instagram.com/p/DOwDq6WjcUR/
CL-CHA-0004,Chapeu Fedora Bege,"Chapéu de ráfia natural, estilo fedora, ideal para o verão. Leve e fresco, com aba larga para proteção solar. Perfeito para um look casual e elegante.",Produto de chapelaria de qualidade.,45,,Chapéus > Chapeu-Fedora,"verão, ráfia, casual",instagram_catalog/raw_photos/chapeuslisboetas_DN5--uojSLW.jpg,10,unisex,chapeu-fedora,casual,bege,palha,https://www.instagram.com/p/DN5--uojSLW/
CL-CAP-0005,Capeline Azul,"Chapéu de sol casual azul escuro com fita decorativa floral, ideal para um dia de verão. Perfeito para proteger do sol com estilo, complementando um look descontraído e moderno.",Produto de chapelaria de qualidade.,55,,Chapéus > Capeline,"chapéu de verão, acessório feminino, estilo casual",instagram_catalog/raw_photos/chapeuslisboetas_DN5lICAirxp.jpg,10,mulher,capeline,casual,azul,palha,https://www.instagram.com/p/DN5lICAirxp/
CL-OUT-0006,Outros Preto,"Elegante chapéu de feltro preto de aba larga com fita de veludo, adicionando um toque de sofisticação ao visual. Ideal para um estilo clássico e distinto.",Produto de chapelaria de qualidade.,55,,Chapéus > Outros,"chapéu-de-feltro, aba-larga, elegante",instagram_catalog/raw_photos/chapeuslisboetas_DNyTzUT2gf7.jpg,10,mulher,outros,classico,preto,la,https://www.instagram.com/p/DNyTzUT2gf7/
CL-CAP-0007,Capeline Branco,"Chapéu capeline feminino em branco e preto, com aba larga. Um acessório clássico e elegante que adiciona sofisticação a qualquer visual.",Produto de chapelaria de qualidade.,50,,Chapéus > Capeline,"chapeu-feminino, elegancia, estilo-classico",instagram_catalog/raw_photos/chapeuslisboetas_DNn-LYdtJAa.jpg,10,mulher,capeline,classico,branco,outros,https://www.instagram.com/p/DNn-LYdtJAa/
CL-CAP-0008,Capeline Bege,"Elegante chapéu de palha capeline de aba larga em bege, ideal para elevar o estilo e oferecer proteção solar no verão. Perfeito para um look sofisticado e moderno.",Produto de chapelaria de qualidade.,55,,Chapéus > Capeline,"chapéu de palha, aba larga, verão",instagram_catalog/raw_photos/chapeuslisboetas_DNVyxfvt489.jpg,10,mulher,capeline,moderno,bege,palha,https://www.instagram.com/p/DNVyxfvt489/
CL-BOI-0009,Boina Outros,"Boina masculina de linho xadrez multicolorida, leve e fresca. Ideal para dias quentes, combinando conforto e estilo casual com um toque de elegância, perfeita para o verão.",Produto de chapelaria de qualidade.,49,,Chapéus > Boina,"boina, linho, casual",instagram_catalog/raw_photos/chapeuslisboetas_DNQ1eR1s0LE.jpg,10,homem,boina,casual,outros,outros,https://www.instagram.com/p/DNQ1eR1s0LE/
CL-BOI-0010,Boina Outros,"Boina rosa pastel de tecido macio, estilo casual, ideal para adicionar um toque moderno e descontraído ao seu look diário e complementar o seu estilo.",Produto de chapelaria de qualidade.,45,,Chapéus > Boina,"boina, casual, mulher",instagram_catalog/raw_photos/chapeuslisboetas_DND36SVML27.jpg,10,mulher,boina,casual,outros,outros,https://www.instagram.com/p/DND36SVML27/
CL-BOI-0011,Boina Outros,"Boina de linho unissexo com padrão xadrez em tons de terra e azul, ideal para um estilo casual e elegante. Leve e versátil para qualquer look.",Produto de chapelaria de qualidade.,50,,Chapéus > Boina,"boina, linho, xadrez",instagram_catalog/raw_photos/chapeuslisboetas_DL-Xt9oNI6H.jpg,10,unisex,boina,casual,outros,outros,https://www.instagram.com/p/DL-Xt9oNI6H/
