ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown
,simple,CL-OUTROS-0001,Boné Militar Verde Algodão Ajustável,1,0,visible,"Boné militar verde em algodão durável, ajustável, ideal para looks casuais e aventureiros.","Este boné de estilo militar em verde escuro, confecionado em algodão resistente, apresenta uma estrutura robusta e um ajuste confortável. A parte traseira possui uma fivela metálica para regulação de tamanho, garantindo um encaixe perfeito. Ideal para quem procura um acessório prático e com um toque utilitário para o dia a dia, atividades ao ar livre ou para um look casual e descontraído. Versátil e durável.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,40,"Unisex, Acessórios","bone, militar, algodao, verde, casual, unisex, ajustavel",,processed_images/professional/fotos site1/1-A.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0002,Boné Estilo Militar Verde Algodão,1,0,visible,"Boné estilo militar unisex em verde escuro, perfeito para um look casual e prático.","Este boné estilo militar em algodão verde escuro oferece um visual robusto e moderno. Ideal para uso diário, protege do sol com conforto e durabilidade. As costuras duplas adicionam um toque de estilo e resistência, tornando-o um acessório versátil para qualquer guarda-roupa casual ou de aventura.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone, militar, verde, casual, unisex, algodao, verao, meia-estacao",,processed_images/professional/fotos site1/1-B.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Meia-estacao,1,0,0
,simple,CL-BONE-0003,Boné Militar Preto Unissexo,1,0,visible,"Boné de estilo militar em algodão preto, ideal para um look casual e confortável.","Este boné unissexo de estilo militar, em algodão de alta qualidade, apresenta um design robusto e uma cor preta clássica, fácil de combinar. Perfeito para o dia a dia, oferece conforto e um toque de personalidade ao seu visual casual. A sua estrutura durável e aba curta proporcionam proteção solar discreta.",,,taxable,,1,12,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone militar, bone preto, unissexo, casual, algodao, estilo cadete, chapéu",,processed_images/professional/fotos site1/1-C.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0004,Boné Militar Unissexo Caramelo Algodão,1,0,visible,"Boné militar unissexo em algodão na cor caramelo, ideal para um look casual e confortável.","Este boné militar unissexo em algodão, na cor caramelo, é o acessório perfeito para quem procura um estilo casual e descontraído. Fabricado com um tecido de algodão robusto, oferece conforto e durabilidade para o uso diário. O seu design clássico de inspiração militar adapta-se facilmente a diversas ocasiões, desde passeios ao ar livre a encontros informais. Um toque de personalidade para qualquer outfit.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone, militar, unisex, caramelo, algodao, casual, outdoors, verao",,processed_images/professional/fotos site1/1-D.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0005,Boné Cadete Algodão Cinza Unissexo,1,0,visible,"Boné estilo cadete em algodão cinza, ideal para um look casual e prático. Conforto e durabilidade.","Desfrute do estilo casual e da praticidade com este boné em estilo cadete, confecionado em algodão de alta qualidade. A sua cor cinza versátil combina facilmente com diversas roupas, tornando-o perfeito para uso diário. Com um design robusto e costuras reforçadas, oferece durabilidade e conforto. Ideal para atividades ao ar livre ou para complementar um visual descontraído, é um acessório unissexo indispensável.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,38,"Unisex, Bonés","bone, cadete, algodao, cinza, casual, unissex, militar",,processed_images/professional/fotos site1/1-E.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0006,Boné Cadete Militar Casual,1,0,visible,"Boné estilo cadete preto em algodão, unissexo, ideal para um look casual e descontraído.","Este boné estilo cadete unissexo, na cor preta, é fabricado em algodão resistente, garantindo conforto e durabilidade. Com um design inspirado nos bonés militares e pespontos visíveis em azul escuro que adicionam um toque de estilo, é perfeito para complementar qualquer visual casual ou desportivo. A aba ligeiramente curvada oferece proteção solar e um ajuste confortável para o dia-a-dia.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,39,"Unisex, Bonés","bone, cadete, preto, unissex, casual, algodao, militar, aba",,processed_images/professional/fotos site1/1-F.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0007,Boné Militar Casual Azul,1,0,visible,"Boné militar unissexo azul em algodão, perfeito para um look casual e descontraído.","Boné estilo militar unissexo em tecido de algodão resistente na cor azul. Apresenta uma aba ligeiramente curvada e uma copa estruturada, ideal para proteção solar e um toque de estilo. Confortável e versátil, é o acessório perfeito para o dia a dia, atividades ao ar livre ou para complementar um visual casual e moderno em qualquer estação.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,38,"Unisex, Bonés","bone, militar, azul, casual, algodao, unisex, verao, estilomilitar",,processed_images/professional/fotos site1/1-G.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0008,Boné Militar Casual Amarelo Mostarda,1,0,visible,"Boné estilo militar unissexo em algodão amarelo mostarda, ideal para looks casuais.","Boné de estilo militar robusto e confortável, confeccionado em algodão de alta qualidade na vibrante cor amarelo mostarda. Apresenta uma copa estruturada e uma pala curva clássica, perfeito para adicionar um toque de personalidade a qualquer vestuário casual. Desenho unissexo, ajustável e adequado para uso diário em todas as estações.",,,taxable,,1,12,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone, militar, casual, unisex, algodao, amarelo-mostarda, cap, acessório",,processed_images/professional/fotos site1/1-H.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0009,Bone Cadet Casual Vermelho Algodão,1,0,visible,"Bone cadet vermelho de algodão, estilo militar casual. Conforto e proteção para o dia a dia.","Aposte no Bone Cadet Vermelho, um acessório versátil e com estilo militar. Fabricado em algodão de alta qualidade, oferece conforto e durabilidade. Perfeito para um look casual, atividades ao ar livre ou para adicionar um toque de personalidade ao seu vestuário. Ajuste confortável para uso diário. A costura reforçada garante longevidade.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,39.99,"Unisex, Bonés","bone, vermelho, casual, militar",,processed_images/professional/fotos site1/1-I.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0010,Boné Militar Casual Verde Tropa,1,0,visible,"Boné estilo militar unissexo em algodão, cor verde-tropa. Ideal para um look casual e descontraído.","Este boné de estilo militar em algodão resistente, de cor verde-tropa, é a escolha perfeita para um toque de aventura e casualidade no seu dia a dia. Com o seu design clássico de aba curta e topo plano, oferece conforto e proteção solar leve. As costuras reforçadas e o material durável garantem longevidade. Ajustável e versátil, é ideal para homem e mulher, perfeito para atividades ao ar livre ou para complementar um visual urbano moderno.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone, militar, verde, casual, unissex",,processed_images/professional/fotos site1/1-J.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONÉ-0011,Boné Militar Verde Algodão,1,0,visible,Boné estilo militar verde em algodão durável. Perfeito para um look casual e aventureiro.,"Desfrute do conforto e estilo com este boné de algodão verde estilo militar. Com um design clássico e aba curvada, oferece proteção solar e um toque casual ao seu outfit. Ideal para o dia a dia, atividades ao ar livre ou simplesmente para complementar um visual descontraído. Feito em algodão de alta qualidade, é resistente e respirável.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,45,Unisex,"boné, militar, algodão, verde, casual, unisex, chapéu, acessório",,processed_images/professional/fotos site1/1.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0012,Boné Casual Algodão Lavado Bordeaux,1,0,visible,"Boné casual unissexo em algodão lavado cor bordeaux, com ajuste traseiro. Estilo descontraído.","Este boné casual unissexo é fabricado em algodão 100% lavado, conferindo-lhe um aspeto vintage e descontraído. A sua cor bordeaux desbotada é versátil e fácil de combinar. Possui uma fivela metálica ajustável na parte traseira para um encaixe perfeito e confortável. Ideal para proteção solar e para um estilo relaxado em qualquer ocasião.",,,taxable,,1,12,2,0,0,0.2,,,,1,,,39,"Unisex, Bonés","bone, casual, algodao, unissex, bordeaux, ajustavel, lavado, verao",,processed_images/professional/fotos site1/10-A.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0013,Boné Algodão Casual Rosa Desbotado,1,0,visible,Boné de algodão unissexo rosa desbotado. Estilo casual e vintage para o dia a dia.,"Este boné clássico unissexo é feito de 100% algodão, apresentando um acabamento desbotado único que lhe confere um visual vintage e descontraído. Ideal para proteção solar e para complementar outfits casuais em qualquer estação. O seu design ajustável garante conforto e versatilidade para todos.",,,taxable,,1,12,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone, casual, unissex, algodao, rosa, desbotado, vintage, verao",,processed_images/professional/fotos site1/10-B.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0014,Boné Algodão Casual Bordô Desbotado,1,0,visible,"Boné casual unissexo em algodão com acabamento desbotado cor bordô, para um look descontraído.","Este boné unissexo de estilo casual é fabricado em algodão com um acabamento desbotado, conferindo-lhe um visual vintage e descontraído. A cor principal é um bordô suave e o design inclui uma pala curva e fecho ajustável na parte traseira para um ajuste perfeito. Confortável e versátil, é o acessório ideal para o dia a dia, passeios ou atividades ao ar livre.",,,taxable,,1,12,2,0,0,0.2,,,,1,,,39,"Unisex, Bonés","boné, casual, algodão, unissexo",,processed_images/professional/fotos site1/10-C.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Verao,1,0,0
,simple,CL-BONE-0015,Boné Casual Algodão Azul Claro,1,0,visible,"Boné unissexo em algodão, cor azul claro, ideal para um estilo casual e proteção solar.","Este boné unissexo de design clássico e cor azul claro é confeccionado em algodão de alta qualidade, proporcionando conforto e respirabilidade. Perfeito para complementar looks casuais, desportivos ou para proteção solar em dias ensolarados. Possui aba curva e ajuste traseiro para um encaixe perfeito. Um acessório versátil e intemporal para o dia a dia.",,,taxable,,1,18,2,0,0,0.2,,,,1,,,39,"Unisex, Bonés","bone, casual, algodao, azul-claro, unissexo, verao, protecao-solar, acessorios, sportswear",,processed_images/professional/fotos site1/10-D.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0016,Boné Casual Laranja Algodão,1,0,visible,"Boné unissexo casual laranja de algodão, ideal para o dia a dia e proteção solar.","Boné casual unissexo em algodão, de uma vibrante cor laranja, perfeito para adicionar um toque de estilo descontraído ao seu look. Com aba curva clássica e design ajustável, é confortável e prático para usar em diversas ocasiões, desde atividades ao ar livre a um passeio pela cidade. Um acessório versátil e intemporal.",,,taxable,,1,15,2,0,0,0.2,,,,1,,,39,"Unisex, Bonés","bone, casual, laranja, algodao, unissexo, aba-curva, protecao-solar, acessorio",,processed_images/professional/fotos site1/10-E.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
,simple,CL-BONE-0017,Boné Casual Algodão Azul Marinho,1,0,visible,"Boné clássico em algodão azul marinho, perfeito para o dia a dia. Estilo descontraído e confortável.","Este boné casual em algodão 100% é um acessório indispensável para qualquer estação. Com um tom azul marinho intemporal e um design clássico de 6 painéis, oferece conforto e proteção solar. O seu ajuste regulável garante um encaixe perfeito, ideal para atividades ao ar livre ou para completar um look descontraído.",,,taxable,,1,12,2,0,0,0.2,,,,1,,,45,"Unisex, Bonés","bone, casual, algodao, azul marinho, unisex, acessorio, verao, dia a dia",,processed_images/professional/fotos site1/10-F.jpg,,,,,,,,,0,Material,Algodao,1,0,Temporada,Todas,1,0,0
