Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
boina-bico-de-pato-ajustavel,BOINA BICO DE PATO AJUSTÁVEL,"<p>Tamanho ajustável</p><p>Paquet de 12 pcs assorties: 4*Noir, 3*Marron, 2*Beige, 1*Kaki, 1*Gris, 1*Camel</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: Tamanho único ajustável</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 100% Poliéster</li></ul>",Chapeus Lisboetas,Inverno,"Inverno, Tamanho ajustável, Chapéus, Boinas, Pacote 12",TRUE,Title,Default Title,BON-22182,shopify,10,deny,manual,27.50,,TRUE,TRUE,,,BOINA BICO DE PATO AJUSTÁVEL,FALSE,active
boina-oitava-inverno,BOINA OITAVA INVERNO,"<p>Boina oitavada em poliéster e rayon, cores sortidas</p><p>Paquet de 12 pcs assorties: 4*Noir, 2*Bordeaux, 2*Gris Clair, 1*Gris Fonce, 1*Marine, 1*Marron, 1*Kaki</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 67,3% Poliéster – 32,7% Rayon</li></ul>",Chapeus Lisboetas,Inverno,"Inverno, boina oitavada, Chapéus, Boinas, Pacote 12",TRUE,Title,Default Title,BON-25025,shopify,10,deny,manual,29.90,,TRUE,TRUE,,,BOINA OITAVA INVERNO,FALSE,active
boina-oitava-xadrez,BOINA OITAVA XADREZ,"<p>Boina oitavada xadrez com mistura de lã, cores sortidas</p><p>Paquet de 12 pcs assorties: 4*Blanc, 3*Rouille, 3*Taupe, 2*Moutarde</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 70% Poliéster – 15% Algodão – 15% Lã</li></ul>",Chapeus Lisboetas,Inverno,"boina oitavada, Inverno, Mistura de lã, Chapéus, Boinas, Pacote 12",TRUE,Title,Default Title,BON-22195,shopify,10,deny,manual,29.90,,TRUE,TRUE,,,BOINA OITAVA XADREZ,FALSE,active
boina-oitavada-harringbone,BOINA OITAVADA HARRINGBONE,"<p>Boina oitavada harringbone com mistura de lã, cores sortidas</p><p>Paquet de 12 pcs assorties: 5*Noir, 3*Beige, 3*Gris, 1*Marron</p><ul><li><strong>Cor</strong>: Sortido</li><li><strong>Tamanho</strong>: 57 , 59</li><li><strong>Vendido Por</strong>: Pacote 12</li><li><strong>Composição</strong>: 51,5% Poliéster – 25,4% Acrílico – 6,2% Rayon – 13,5% Algodão – 3,4% Lã</li></ul>",Chapeus Lisboetas,Inverno,"boina oitavada, Inverno, Mistura de lã, Chapéus, Boinas, Pacote 12",TRUE,Title,Default Title,BON-25023,shopify,10,deny,manual,29.90,,TRUE,TRUE,,,BOINA OITAVADA HARRINGBONE,FALSE,active
boina-piemonte-harringbone,BOINA PIEMONTE HARRINGBONE,"<p>Lã Pura</p><p>Découvrez notre Casquette - 18456MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinho, Cinza, Castanho, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno, Lã Pura, Chapéus, Boinas, Unitário",TRUE,Title,Default Title,BON-18456G,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,BOINA PIEMONTE HARRINGBONE,FALSE,active
boina-pure-wool-quadrados,BOINA PURE WOOL QUADRADOS,"<p>Lã Pura</p><p>Découvrez notre Casquette - 18439OL au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Oliva</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno, Lã Pura, Chapéus, Boinas, Unitário",TRUE,Title,Default Title,BON-18439OL,shopify,10,deny,manual,45.00,,TRUE,TRUE,,,BOINA PURE WOOL QUADRADOS,FALSE,active
boina-oitava-harris-tweed,BOINA OITAVA HARRIS TWEED,"<p>Harris Tweed 100% lã virgem</p><p>Harris Tweed 100% Laine vierge</p><ul><li><strong>Cor</strong>: Multicolorido</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Harris Tweed, Inverno, Lã Pura, Chapéus, Boinas, Unitário",TRUE,Title,Default Title,BON-18438MC-18502MI,shopify,10,deny,manual,85.00,,TRUE,TRUE,,,BOINA OITAVA HARRIS TWEED,FALSE,active
boina-piemonte-bombazine,BOINA PIEMONTE BOMBAZINE,"<p>Boina Piemonte em 100% algodão bombazine, fabricada na Itália</p><p>Découvrez notre Casquette - 18106MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Azul , Bege, Castanho, Cinza, Preto, Verde</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 100% algodão (BOMBAZINE)</li></ul>",Chapeus Lisboetas,Inverno,"Rótulo: Fabricado na Itália, bombazine, Chapéus, Boinas, Inverno, Unitário",TRUE,Title,Default Title,BON-18106MI-BON-18106K-BON-18106G-18106M,shopify,10,deny,manual,27.50,,TRUE,TRUE,,,BOINA PIEMONTE BOMBAZINE,FALSE,active
boina-mistura-de-la-quadrados,BOINA MISTURA DE LÃ QUADRADOS,"<p>Boina com mistura de lã e padrão quadrados, fabricada na Itália</p><p>Découvrez notre Casquette - 18153K au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Cáqui</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 16% Poliéster – 25% Acrílico – 59% Lã</li></ul>",Chapeus Lisboetas,Inverno,"Rótulo: Fabricado na Itália, Chapéus, Boinas, Inverno, Unitário",TRUE,Title,Default Title,BON-18153K,shopify,10,deny,manual,35.00,,TRUE,TRUE,,,BOINA MISTURA DE LÃ QUADRADOS,FALSE,active
boina-piemonte-cashmere,BOINA PIEMONTE CASHMERE,"<p>WOOL &amp; CASHEMERE</p><p>Découvrez notre Casquette - 18445MI au prix de grossiste pour votre boutique sur Hologramme Paris.</p><ul><li><strong>Cor</strong>: Marinho, Cáqui, Preto, Cinza, Camel</li><li><strong>Tamanho</strong>: 55 , 56 , 57 , 58 , 59 , 60 , 61</li><li><strong>Vendido Por</strong>: Unitário</li><li><strong>Composição</strong>: 70% Lã – 20% Poliamida – 10% Caxemira</li></ul>",Chapeus Lisboetas,Inverno,"Fabricado na Itália, Inverno, cashmere, Chapéus, Boinas, Unitário",TRUE,Title,Default Title,BON-18445MI-BON-18445K-BON-18445N-BON-18,shopify,10,deny,manual,29.90,,TRUE,TRUE,,,BOINA PIEMONTE CASHMERE,FALSE,active
